R,USD,VB,B,19.5
R,USD,VB,S,19.83
R,EUR,VB,B,22.1
R,EUR,VB,S,22.5
R,RUB,VB,B,0.305
R,RUB,VB,S,0.325
R,RON,VB,B,4.85
R,RON,VB,S,5.15
R,UAH,VB,B,0.7
R,UAH,VB,S,0.93
R,GBP,VB,B,29.1
R,GBP,VB,S,30.5
R,CHF,VB,B,20
R,CHF,VB,S,20.8
R,USD,MB,B,19.45
R,USD,MB,S,19.8
R,EUR,MB,B,22
R,EUR,MB,S,22.5
R,RUB,MB,B,0.309
R,RUB,MB,S,0.325
R,RON,MB,B,4.8
R,RON,MB,S,5.09
R,USD,BCR,B,19.44
R,USD,BCR,S,19.8
R,EUR,BCR,B,22.05
R,EUR,BCR,S,22.56
R,RUB,BCR,B,0.27
R,RUB,BCR,S,0.323
R,RON,BCR,B,5.00
R,RON,BCR,S,5.12
R,UAH,BCR,B,0.5
R,UAH,BCR,S,0.95
R,USD,ENB,B,19.5
R,USD,ENB,S,19.75
R,EUR,ENB,B,22.12
R,EUR,ENB,S,22.45
R,RUB,ENB,B,0.307
R,RUB,ENB,S,0.32
R,RON,ENB,B,4.70
R,RON,ENB,S,5
R,UAH,ENB,B,0.5
R,UAH,ENB,S,1
R,GBP,ENB,B,27
R,GBP,ENB,S,30.5
R,CHF,ENB,B,18
R,CHF,ENB,S,21
R,USD,ECB,B,19.4
R,USD,ECB,S,19.8
R,EUR,ECB,B,22
R,EUR,ECB,S,22.5
R,RUB,ECB,B,0.3
R,RUB,ECB,S,0.322
R,RON,ECB,B,4.7
R,RON,ECB,S,5.1
R,UAH,ECB,B,0.5
R,UAH,ECB,S,0.9
R,GBP,ECB,B,28.9
R,GBP,ECB,S,30
R,CHF,ECB,B,19.3
R,CHF,ECB,S,20.4
R,USD,EXB,B,19.5
R,USD,EXB,S,19.84
R,EUR,EXB,B,22.1
R,EUR,EXB,S,22.55
R,RUB,EXB,B,0.3
R,RUB,EXB,S,0.325
R,RON,EXB,B,4.7
R,RON,EXB,S,5.12
R,UAH,EXB,B,0.3
R,UAH,EXB,S,0.95
R,USD,FCB,B,19.54
R,USD,FCB,S,19.75
R,EUR,FCB,B,22.15
R,EUR,FCB,S,22.44
R,RUB,FCB,B,0.305
R,RUB,FCB,S,0.322
R,RON,FCB,B,4.8
R,RON,FCB,S,5.09
R,UAH,FCB,B,0.65
R,UAH,FCB,S,0.9
R,GBP,FCB,B,29.6
R,GBP,FCB,S,30.4
R,USD,MICB,B,19.48
R,USD,MICB,S,19.78
R,EUR,MICB,B,22.1
R,EUR,MICB,S,22.45
R,RUB,MICB,B,0.305
R,RUB,MICB,S,0.325
R,RON,MICB,B,4.8
R,RON,MICB,S,5
R,UAH,MICB,B,0.6
R,UAH,MICB,S,0.9
R,GBP,MICB,B,29
R,GBP,MICB,S,30
R,CHF,MICB,B,19.55
R,CHF,MICB,S,20.55
R,USD,MAIB,B,19.54
R,USD,MAIB,S,19.84
R,EUR,MAIB,B,22.15
R,EUR,MAIB,S,22.55
R,RUB,MAIB,B,0.307
R,RUB,MAIB,S,0.324
R,RON,MAIB,B,4.87
R,RON,MAIB,S,5.12
R,UAH,MAIB,B,0.45
R,UAH,MAIB,S,0.89
R,GBP,MAIB,B,29.28
R,GBP,MAIB,S,30.48
R,CHF,MAIB,B,19.55
R,CHF,MAIB,S,20.68
R,USD,PCB,B,19.55
R,USD,PCB,S,19.82
R,EUR,PCB,B,22.15
R,EUR,PCB,S,22.53
R,USD,CB,B,19.55
R,USD,CB,S,19.65
R,EUR,CB,B,22.15
R,EUR,CB,S,22.4
R,RUB,CB,B,0.302
R,RUB,CB,S,0.323
R,UAH,CB,B,0.3
R,UAH,CB,S,1